visit_id,hhid,visit_date,field_officer_id,district,issue_category,issue_severity,resolved,notes
VIS0001,HH01106,2026-04-12,FO01,Luma,payment failed,medium,1,Village leader requested beneficiary list clarification.
VIS0002,HH00378,2026-04-03,FO04,Dima,payment failed,medium,1,Village leader requested beneficiary list clarification.
VIS0003,HH00268,2026-04-28,FO02,Jubo,beneficiary confusion,medium,1,Payment agent unavailable on scheduled date.
VIS0004,HH01187,2026-04-20,FO06,Dima,grievance access,medium,1,Household reports account SIM was replaced.
VIS0005,HH00200,2026-04-05,FO01,Kalo,registration mismatch,medium,1,Household reports account SIM was replaced.
VIS0006,HH00096,2026-04-30,FO01,Aru,survey revisit,high,0,Back-check could not confirm original respondent.
VIS0007,HH00252,2026-04-10,FO04,Dima,beneficiary confusion,high,1,Household reports account SIM was replaced.
VIS0008,HH01059,2026-04-28,FO02,Bela,payment failed,low,1,Back-check could not confirm original respondent.
VIS0009,HH00516,2026-04-04,FO04,Aru,survey revisit,high,1,Back-check could not confirm original respondent.
VIS0010,HH01024,2026-04-09,FO03,Dima,payment failed,low,1,Respondent asks how to file grievance.
VIS0011,HH00871,2026-04-11,FO08,Aru,survey revisit,low,1,Back-check could not confirm original respondent.
VIS0012,HH00391,2026-04-08,FO01,Coro,payment failed,medium,1,Back-check could not confirm original respondent.
VIS0013,HH01017,2026-04-29,FO02,Aru,registration mismatch,low,0,Payment agent unavailable on scheduled date.
VIS0014,HH00341,2026-04-06,FO08,Elo,beneficiary confusion,low,1,Back-check could not confirm original respondent.
VIS0015,HH00625,2026-04-16,FO06,Kalo,registration mismatch,high,1,Household reports account SIM was replaced.
VIS0016,HH00470,2026-04-21,FO07,Ila,payment failed,low,1,Household reports account SIM was replaced.
VIS0017,HH00555,2026-04-25,FO05,Faro,survey revisit,medium,1,Respondent asks how to file grievance.
VIS0018,HH00998,2026-04-22,FO04,Bela,grievance access,high,1,Payment agent unavailable on scheduled date.
VIS0019,HH00709,2026-04-06,FO08,Jubo,survey revisit,high,1,Payment agent unavailable on scheduled date.
VIS0020,HH01105,2026-04-29,FO07,Ila,grievance access,low,0,Back-check could not confirm original respondent.
VIS0021,HH00823,2026-04-07,FO05,Jubo,survey revisit,high,0,Household reports account SIM was replaced.
VIS0022,HH01132,2026-04-22,FO02,Luma,grievance access,high,1,Household reports account SIM was replaced.
VIS0023,HH00830,2026-04-16,FO07,Bela,grievance access,medium,0,Respondent asks how to file grievance.
VIS0024,HH01138,2026-04-16,FO08,Hima,beneficiary confusion,low,1,Back-check could not confirm original respondent.
VIS0025,HH00342,2026-04-21,FO05,Kalo,survey revisit,medium,1,Respondent asks how to file grievance.
VIS0026,HH00779,2026-04-30,FO06,Aru,grievance access,low,0,Household reports account SIM was replaced.
VIS0027,HH00549,2026-04-30,FO05,Jubo,payment failed,medium,1,Household reports account SIM was replaced.
VIS0028,HH00543,2026-04-15,FO04,Faro,registration mismatch,high,0,Payment agent unavailable on scheduled date.
VIS0029,HH00402,2026-04-24,FO06,Coro,survey revisit,high,0,Village leader requested beneficiary list clarification.
VIS0030,HH00487,2026-04-05,FO03,Coro,beneficiary confusion,low,0,Respondent asks how to file grievance.
VIS0031,HH01165,2026-04-22,FO05,Kalo,payment failed,high,0,Payment agent unavailable on scheduled date.
VIS0032,HH01083,2026-04-28,FO08,Coro,grievance access,high,1,Respondent asks how to file grievance.
VIS0033,HH00624,2026-04-05,FO02,Coro,survey revisit,medium,1,Back-check could not confirm original respondent.
VIS0034,HH00421,2026-04-08,FO05,Ila,payment failed,low,1,Payment agent unavailable on scheduled date.
VIS0035,HH00257,2026-04-27,FO07,Kalo,survey revisit,medium,1,Household reports account SIM was replaced.
VIS0036,HH00026,2026-04-14,FO02,Hima,payment failed,high,0,Payment agent unavailable on scheduled date.
VIS0037,HH00007,2026-04-23,FO06,Galo,registration mismatch,low,1,Back-check could not confirm original respondent.
VIS0038,HH00570,2026-04-30,FO06,Dima,beneficiary confusion,low,0,Back-check could not confirm original respondent.
VIS0039,HH00953,2026-04-27,FO02,Luma,beneficiary confusion,high,0,Household reports account SIM was replaced.
VIS0040,HH00728,2026-04-17,FO07,Bela,beneficiary confusion,medium,1,Village leader requested beneficiary list clarification.
VIS0041,HH01079,2026-04-24,FO06,Galo,payment failed,high,0,Respondent asks how to file grievance.
VIS0042,HH01063,2026-04-26,FO08,Dima,survey revisit,low,1,Village leader requested beneficiary list clarification.
VIS0043,HH00497,2026-04-16,FO08,Ila,registration mismatch,low,1,Respondent asks how to file grievance.
VIS0044,HH00387,2026-04-03,FO03,Dima,registration mismatch,low,1,Village leader requested beneficiary list clarification.
VIS0045,HH00851,2026-04-29,FO06,Faro,payment failed,low,1,Household reports account SIM was replaced.
VIS0046,HH01062,2026-04-05,FO03,Hima,payment failed,low,1,Household reports account SIM was replaced.
VIS0047,HH01158,2026-04-09,FO05,Luma,registration mismatch,high,0,Payment agent unavailable on scheduled date.
VIS0048,HH00928,2026-04-28,FO04,Coro,payment failed,low,1,Respondent asks how to file grievance.
VIS0049,HH01009,2026-04-04,FO05,Hima,beneficiary confusion,high,1,Respondent asks how to file grievance.
VIS0050,HH00698,2026-04-28,FO01,Elo,beneficiary confusion,high,1,Back-check could not confirm original respondent.
VIS0051,HH00453,2026-04-10,FO06,Bela,registration mismatch,high,0,Payment agent unavailable on scheduled date.
VIS0052,HH00317,2026-04-29,FO01,Aru,survey revisit,low,0,Back-check could not confirm original respondent.
VIS0053,HH01183,2026-04-11,FO01,Elo,registration mismatch,high,0,Household reports account SIM was replaced.
VIS0054,HH00367,2026-04-10,FO04,Galo,grievance access,low,1,Back-check could not confirm original respondent.
VIS0055,HH00461,2026-04-09,FO05,Galo,grievance access,low,1,Back-check could not confirm original respondent.
VIS0056,HH01100,2026-05-01,FO07,Dima,survey revisit,medium,1,Payment agent unavailable on scheduled date.
VIS0057,HH00678,2026-04-11,FO08,Galo,survey revisit,medium,0,Respondent asks how to file grievance.
VIS0058,HH00349,2026-04-29,FO07,Luma,grievance access,low,1,Payment agent unavailable on scheduled date.
VIS0059,HH00926,2026-04-18,FO01,Bela,beneficiary confusion,medium,1,Back-check could not confirm original respondent.
VIS0060,HH00424,2026-04-25,FO06,Kalo,registration mismatch,low,1,Respondent asks how to file grievance.
VIS0061,HH00806,2026-04-14,FO08,Faro,registration mismatch,medium,1,Payment agent unavailable on scheduled date.
VIS0062,HH00305,2026-04-20,FO08,Jubo,beneficiary confusion,low,1,Back-check could not confirm original respondent.
VIS0063,HH00127,2026-04-27,FO03,Elo,registration mismatch,low,1,Household reports account SIM was replaced.
VIS0064,HH00888,2026-04-16,FO07,Aru,survey revisit,low,1,Household reports account SIM was replaced.
VIS0065,HH00719,2026-04-06,FO02,Faro,registration mismatch,low,1,Village leader requested beneficiary list clarification.
VIS0066,HH00013,2026-04-17,FO07,Kalo,grievance access,low,0,Payment agent unavailable on scheduled date.
VIS0067,HH00665,2026-04-28,FO02,Coro,beneficiary confusion,low,1,Household reports account SIM was replaced.
VIS0068,HH00396,2026-04-17,FO02,Ila,beneficiary confusion,medium,0,Household reports account SIM was replaced.
VIS0069,HH00945,2026-04-15,FO06,Ila,registration mismatch,medium,1,Respondent asks how to file grievance.
VIS0070,HH00761,2026-04-15,FO06,Jubo,survey revisit,medium,0,Village leader requested beneficiary list clarification.
VIS0071,HH00322,2026-04-29,FO03,Hima,grievance access,low,1,Back-check could not confirm original respondent.
VIS0072,HH01197,2026-04-09,FO07,Kalo,payment failed,medium,1,Respondent asks how to file grievance.
VIS0073,HH00942,2026-04-27,FO04,Kalo,beneficiary confusion,high,0,Back-check could not confirm original respondent.
VIS0074,HH01086,2026-04-19,FO07,Luma,payment failed,medium,1,Village leader requested beneficiary list clarification.
VIS0075,HH01148,2026-04-28,FO06,Dima,beneficiary confusion,low,0,Respondent asks how to file grievance.
VIS0076,HH00748,2026-04-04,FO03,Luma,registration mismatch,medium,1,Respondent asks how to file grievance.
VIS0077,HH00718,2026-04-17,FO02,Galo,payment failed,medium,1,Payment agent unavailable on scheduled date.
VIS0078,HH01014,2026-04-29,FO01,Dima,payment failed,medium,1,Respondent asks how to file grievance.
VIS0079,HH01043,2026-04-01,FO01,Coro,grievance access,medium,1,Village leader requested beneficiary list clarification.
VIS0080,HH00390,2026-04-29,FO01,Dima,beneficiary confusion,low,1,Back-check could not confirm original respondent.
VIS0081,HH01107,2026-04-12,FO08,Galo,grievance access,low,1,Payment agent unavailable on scheduled date.
VIS0082,HH00444,2026-04-07,FO05,Hima,beneficiary confusion,high,0,Back-check could not confirm original respondent.
VIS0083,HH01028,2026-04-08,FO08,Elo,beneficiary confusion,low,0,Payment agent unavailable on scheduled date.
VIS0084,HH00966,2026-04-19,FO06,Kalo,survey revisit,medium,0,Back-check could not confirm original respondent.
VIS0085,HH00178,2026-04-06,FO05,Kalo,payment failed,low,1,Payment agent unavailable on scheduled date.
VIS0086,HH01120,2026-04-04,FO05,Hima,survey revisit,low,1,Village leader requested beneficiary list clarification.
VIS0087,HH00683,2026-04-22,FO05,Galo,survey revisit,low,1,Back-check could not confirm original respondent.
VIS0088,HH00702,2026-04-25,FO07,Aru,survey revisit,low,1,Back-check could not confirm original respondent.
VIS0089,HH01071,2026-04-21,FO04,Bela,registration mismatch,high,1,Respondent asks how to file grievance.
VIS0090,HH00568,2026-04-15,FO03,Aru,registration mismatch,low,1,Back-check could not confirm original respondent.
